name,amount,candidate_or_measure,tx_date,committee_name,position,tag
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,"COMMUNITY HEALTH AND MEDICAL FACILITIES, STREET SAFETY, PUBLIC SPACES, AND SHELTER TO REDUCE HOMELESSNESS BOND",2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,955.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by TogetherSF Action,200.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,POLICE STAFFING AND DEFERRED RETIREMENT,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,RETIREMENT BENEFITS FOR NURSES AND 911 OPERATORS,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,FIRST RESPONDER STUDENT LOAN AND TRAINING REIMBURSEMENT FUND,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,955.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by TogetherSF Action,200.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,"FUNDING PROGRAMS SERVING CHILDREN, YOUTH, AND FAMILIES ",2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,219.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by TogetherSF Action,781.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,RETIREMENT BENEFITS FOR FIREFIGHTERS,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,1223.0,DANIEL LURIE,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by TogetherSF Action,300.0,DANIEL LURIE,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,DANIEL LURIE,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,DANIEL LURIE,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,DANIEL LURIE,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,DANIEL LURIE,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,DANIEL LURIE,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,DANIEL LURIE,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,DANIEL LURIE,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,DANIEL LURIE,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,DANIEL LURIE,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,300.0,LONDON BREED,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by TogetherSF Action,1223.0,LONDON BREED,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,LONDON BREED,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,LONDON BREED,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,LONDON BREED,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,LONDON BREED,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,LONDON BREED,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,LONDON BREED,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,LONDON BREED,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,LONDON BREED,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,LONDON BREED,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
"Independent Expenditure by FORWARD ACTION SF, SUPPORTING LONDON BREED FOR MAYOR 2024, SPONSORED BY ABUNDANCE NETWORK",3292.0,LONDON BREED,2024-11-01,"FORWARD ACTION SF, SUPPORTING LONDON BREED FOR MAYOR 2024, SPONSORED BY ABUNDANCE NETWORK",SUPPORT,Abundance Network
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,MARK FARRELL,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,MARK FARRELL,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,MARK FARRELL,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,MARK FARRELL,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,MARK FARRELL,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,MARK FARRELL,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,MARK FARRELL,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,MARK FARRELL,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,MARK FARRELL,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,MARJAN PHILHOUR,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,1352.0,MARJAN PHILHOUR,2024-09-30,Families for a Vibrant SF Sponsored by Abundance Network,SUPPORT,Abundance Network
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,MARJAN PHILHOUR,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,MARJAN PHILHOUR,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,MARJAN PHILHOUR,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,MARJAN PHILHOUR,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,MARJAN PHILHOUR,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,10800.0,MARJAN PHILHOUR,2024-10-01,Families for a Vibrant SF Sponsored by Abundance Network,SUPPORT,Abundance Network
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,128982.0,MARJAN PHILHOUR,2024-10-01,Families for a Vibrant SF Sponsored by Abundance Network,SUPPORT,Abundance Network
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,4262.0,MARJAN PHILHOUR,2024-10-01,Families for a Vibrant SF Sponsored by Abundance Network,SUPPORT,Abundance Network
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,MARJAN PHILHOUR,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,MARJAN PHILHOUR,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,65991.0,MARJAN PHILHOUR,2024-10-09,Families for a Vibrant SF Sponsored by Abundance Network,SUPPORT,Abundance Network
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,MARJAN PHILHOUR,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Families for a Vibrant SF Sponsored by Abundance Network,64491.0,MARJAN PHILHOUR,2024-10-31,Families for a Vibrant SF Sponsored by Abundance Network,SUPPORT,Abundance Network
Independent Expenditure by TogetherSF Action,1220.0,AARON PESKIN,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,300.0,AARON PESKIN,2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,1000.0,AARON PESKIN,2024-10-28,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,45866.0,DANIEL LURIE,2024-10-14,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,52410.0,DANIEL LURIE,2024-10-23,TogetherSF Action,OPPOSE,TogetherSF
